rule_id,max_boards,min_points,max_points,min_objects,max_objects,min_shapes,max_shapes,min_colors,max_colors,b,feedback_switches,stack_memory_show_order,grid_memory_show_order,give_up_at,x2_likelihood,x4_likelihood,pregame,images,bot_assist,pseudo_halftime
FDCL/basic/cm_RBKY,3,2,10,9,9,4,4,4,4,1.5,free,FALSE,FALSE,2,1000,1000000,BayesIncentNoFB,,,
FDCL/basic/cw,5,5,10,9,9,4,4,4,4,1.5,free,FALSE,FALSE,6,1000,1000000,doubling,,pseudo,8
FDCL/basic/ccw,5,5,10,9,9,4,4,4,4,1.5,free,FALSE,FALSE,6,1000,1000000,doubling,,,
FDCL/basic/sm_csqt,3,2,10,9,9,4,4,4,4,1.5,free,FALSE,FALSE,2,1000,1000000,BayesIncentNoFB,,pseudo,8
