rule_id,max_boards,min_points,max_points,min_objects,max_objects,min_shapes,max_shapes,min_colors,max_colors,b,feedback_switches,stack_memory_depth,stack_memory_show_order,grid_memory_show_order,give_up_at,x2_likelihood,x4_likelihood,pregame,bot_assist,pseudo_halftime,pseudo_init_error_rate,bot_assist1,pseudo_halftime1,pseudo_init_error_rate1
RU/JF/Basic/cm_BKYR,3,2,10,9,9,4,4,4,4,1.5,free,0,FALSE,FALSE,999,1000,1000000,2PG_adve_Bot_assist,pseudo,8,0.75,,,
FDCL/basic/quadNearby,3,2,10,9,9,4,4,4,4,1.5,free,0,FALSE,FALSE,999,1000,1000000,2PG_adve_Bot_assist,,,,pseudo,8,.75
FDCL/basic/shaOrdL1_qcts,3,2,10,9,9,4,4,4,4,1.5,free,0,FALSE,FALSE,999,1000,1000000,2PG_adve_Bot_assist,pseudo,8,0.75,,,
FDCL/basic/cm_RBKY_cw_0123,3,2,10,9,9,4,4,4,4,1.5,free,0,FALSE,FALSE,999,1000,1000000,2PG_adve_Bot_assist,,,,pseudo,8,.75

