rule_id,continue,max_boards,min_points,max_points,min_objects,max_objects,b,clear_how_many,clearing_threshold,feedback_switches,initial_boards_order,images 
cpd/size,false,6,2,10,8,8,1.5,2,1.3,free,alpha,size/*.png
cpd/bongards_learn,true,4,2,10,8,8,1.5,2,1.3,free,alpha,bongards/lines/line_*.png
cpd/bongards_gen,false,2,2,10,8,8,1.5,2,1.3,free,alpha,bongards/curves/curve_*.png;bongards/circles/circle_*.png;bongards/squares/square_*.png
cpd/samediff_learn,true,4,2,10,8,8,1.5,2,1.3,free,alpha,samediff/A/*.png 
cpd/samediff_gen,false,2,2,10,8,8,1.5,2,1.3,free,alpha,samediff/B/*.png 
cpd/basicShape,false,6,2,10,8,8,1.5,2,1.3,free,alpha,basicShape/*.png
