rule_id,max_boards,min_points,max_points,activate_bonus_at,min_objects,max_objects,min_shapes,max_shapes,min_colors,max_colors,colors,shapes,b,clear_how_many,bonus_extra_pts,clearing_threshold,feedback_switches,stack_memory_depth,stack_memory_show_order,grid_memory_show_order,give_up_at
ezPosition,6,2,10,3,7,9,1,1,1,1,BLACK,CIRCLE,1.5,2,3,1.3,free,0,FALSE,FALSE,1
ezPosition,6,2,10,3,7,9,1,1,1,1,BLACK,CIRCLE,1.5,2,3,1.3,free,8,TRUE,FALSE,1
ezPosition,6,2,10,3,7,9,1,1,1,1,BLACK,CIRCLE,1.5,2,3,1.3,free,8,TRUE,TRUE,1
ezPosition,6,2,10,3,7,9,1,1,1,1,BLACK,CIRCLE,1.5,2,3,1.3,fixed,8,TRUE,TRUE,1
ezPosition,6,2,10,3,7,9,1,1,1,1,BLACK,CIRCLE,1.5,2,3,1.3,free,0,FALSE,FALSE,1
