rule_id,max_boards,min_points,max_points,min_objects,max_objects,min_shapes,max_shapes,min_colors,max_colors,b,feedback_switches,stack_memory_show_order,grid_memory_show_order,give_up_at,x2_likelihood,x4_likelihood,pregame,images,bot_assist,pseudo_halftime
FDCL/basic/cw,5,5,10,9,9,4,4,4,4,1.5,free,FALSE,FALSE,6,1000,1000000,Bot_assist,,pseudo,8
RU/JF/Basic/sm_RBKY_ccw_0321,5,5,10,9,9,4,4,4,4,1.5,free,FALSE,FALSE,6,1000,1000000,Bot_assist,,pseudo,8
FDCL/basic/sm_csqt,5,5,10,9,9,4,4,4,4,1.5,free,FALSE,FALSE,6,1000,1000000,Bot_assist,,,
RU/JF/Basic/cm_RBKY_ccw_0321,5,5,10,9,9,4,4,4,4,1.5,free,FALSE,FALSE,6,1000,1000000,Bot_assist,,,
