rule_id,max_boards,min_points,max_points,min_objects,max_objects,min_shapes,max_shapes,min_colors,max_colors,b,feedback_switches,stack_memory_depth,stack_memory_show_order,grid_memory_show_cd order,give_up_at,x2_likelihood,x4_likelihood,pregame,bot_assist,pseudo_halftime,pseudo_init_error_rate,bot_assist1,pseudo_halftime1,pseudo_init_error_rate1
FDCL/basic/sm_csqt,2,2,10,4,6,2,4,2,4,1.5,free,10,TRUE,TRUE,999,100,10000,doubling,pseudo,10,0.90,,,	
RU/JF/Basic/cm_RBKY_ccw_0321,2,2,10,4,6,2,4,2,4,1.5,free,10,TRUE,TRUE,999,100,10000,doubling,,,,pseudo,10,0.90	
FDCL/basic/cw,2,2,10,4,6,2,4,2,4,1.5,free,10,TRUE,TRUE,999,100,10000,doubling,pseudo,10,0.90,pseudo,10,0.20
RU/JF/Basic/sm_RBKY_ccw_0321,2,2,10,4,6,2,4,2,4,1.5,free,10,TRUE,TRUE,999,100,10000,doubling,,,,,,
