rule_id,max_boards,min_points,max_points,activate_bonus_at,min_objects,max_objects,min_shapes,max_shapes,min_colors,max_colors,b,clear_how_many,bonus_extra_pts,clearing_threshold,feedback_switches,stack_memory_depth,stack_memory_show_order,grid_memory_show_order,give_up_at
TD-06,5,2,10,3,9,9,4,4,4,4,1.5,2,3,1.3,fixed,0,FALSE,FALSE,3
Rule-001,5,2,10,3,9,9,4,4,4,4,1.5,2,3,1.3,fixed,0,FALSE,FALSE,3
Rule-002,5,2,10,3,9,9,4,4,4,4,1.5,2,3,1.3,fixed,0,FALSE,FALSE,3
rule-022,5,2,10,3,9,9,4,4,4,4,1.5,2,3,1.3,fixed,0,FALSE,FALSE,3
Rule-015a,5,2,10,3,9,9,4,4,4,4,1.5,2,3,1.3,fixed,0,FALSE,FALSE,3
Rule-006,5,2,10,3,9,9,4,4,4,4,1.5,2,3,1.3,fixed,0,FALSE,FALSE,3
