rule_id,max_boards,min_points,max_points,activate_bonus_at,min_objects,max_objects,min_shapes,max_shapes,min_colors,max_colors,b,clear_how_many,bonus_extra_pts,clearing_threshold,feedback_switches,stack_memory_depth,stack_memory_show_order,grid_memory_show_order,give_up_at
pk/noRule,3,2,10,NA,6,6,4,4,4,4,1.5,2,3,1.2,free,0,FALSE,FALSE,NA
pk/position_Anearby,5,2,10,3,6,6,4,4,4,4,1.5,2,3,1.2,free,0,FALSE,FALSE,3
pk/position_Aread,5,2,10,3,6,6,4,4,4,4,1.5,2,3,1.2,free,0,FALSE,FALSE,3
pk/position_A,5,2,10,3,6,6,4,4,4,4,1.5,2,3,1.2,free,0,FALSE,FALSE,3
